frequency,power
3699,1.2291e-10
3708,1.22316e-10
3717,1.21726e-10
3726,1.21141e-10
3735,1.20561e-10
3744,1.19985e-10
3753,1.19413e-10
3762,1.18845e-10
3771,1.18281e-10
3780,1.17722e-10
3789,1.17167e-10
3798,1.16616e-10
3807,1.16069e-10
3816,1.15526e-10
3825,1.14987e-10
3834,1.14452e-10
3843,1.13921e-10
3852,1.13394e-10
3861,1.12871e-10
3870,1.12351e-10
3879,1.11835e-10
3888,1.11323e-10
3897,1.10815e-10
3906,1.1031e-10
3915,1.09809e-10
3924,1.09311e-10
3933,1.08817e-10
3942,1.08327e-10
3951,1.0784e-10
3960,1.07356e-10
3969,1.06876e-10
3978,1.064e-10
3987,1.05926e-10
3996,1.05456e-10
4005,1.04989e-10
4014,1.04526e-10
4023,1.04065e-10
4032,1.03608e-10
4041,1.03154e-10
4050,1.02703e-10
4059,1.02256e-10
4068,1.01811e-10
4077,1.01369e-10
4086,1.00931e-10
4095,1.00495e-10
4104,1.00063e-10
4113,9.96329e-11
4122,9.92061e-11
4131,9.87823e-11
4140,9.83612e-11
4149,9.79431e-11
4158,9.75277e-11
4167,9.71151e-11
4176,9.67053e-11
4185,9.62982e-11
4194,9.58938e-11
4203,9.54921e-11
4212,9.5093e-11
4221,9.46966e-11
4230,9.43028e-11
4239,9.39116e-11
4248,9.3523e-11
4257,9.31369e-11
4266,9.27533e-11
4275,9.23723e-11
4284,9.19937e-11
4293,9.16176e-11
4302,9.12439e-11
4311,9.08726e-11
4320,9.05037e-11
4329,9.01372e-11
4338,8.97731e-11
4347,8.94112e-11
4356,8.90517e-11
4365,8.86945e-11
4374,8.83396e-11
4383,8.79869e-11
4392,8.76365e-11
4401,8.72882e-11
4410,8.69422e-11
4419,8.65983e-11
4428,8.62566e-11
4437,8.59171e-11
4446,8.55797e-11
4455,8.52443e-11
4464,8.49111e-11
4473,8.458e-11
4482,8.42509e-11
4491,8.39238e-11
4500,8.35987e-11
4509,8.32757e-11
4518,8.29547e-11
4527,8.26356e-11
4536,8.23184e-11
4545,8.20033e-11
4554,8.169e-11
4563,8.13786e-11
4572,8.10692e-11
4581,8.07616e-11
4590,8.04558e-11
4599,8.0152e-11
4608,7.98499e-11
4617,7.95497e-11
4626,7.92512e-11
4635,7.89546e-11
4644,7.86597e-11
4653,7.83666e-11
4662,7.80753e-11
4671,7.77856e-11
4680,7.74977e-11
4689,7.72115e-11
4698,7.6927e-11
4707,7.66441e-11
