time,signal
0.0116944,5.27356e-16
0.0117222,1.06859e-15
0.01175,5.41234e-16
0.0117778,1.06859e-15
0.0118056,5.55112e-16
0.0118333,1.09635e-15
0.0118611,5.68989e-16
0.0118889,1.06859e-15
0.0119167,5.82867e-16
0.0119444,1.06859e-15
0.0119722,6.245e-16
0.012,1.09635e-15
0.0120278,5.96745e-16
0.0120556,1.06859e-15
0.0120833,5.96745e-16
0.0121111,1.06859e-15
0.0121389,6.38378e-16
0.0121667,1.06859e-15
0.0121944,6.52256e-16
0.0122222,1.06859e-15
0.01225,6.10623e-16
0.0122778,1.06859e-15
0.0123056,5.96745e-16
0.0123333,1.06859e-15
0.0123611,5.96745e-16
0.0123889,1.06859e-15
0.0124167,6.245e-16
0.0124444,1.06859e-15
0.0124722,6.245e-16
0.0125,1.06859e-15
0.0125278,6.52256e-16
0.0125556,1.06859e-15
0.0125833,6.52256e-16
0.0126111,1.06859e-15
0.0126389,6.52256e-16
0.0126667,1.06859e-15
0.0126944,6.52256e-16
0.0127222,1.06859e-15
0.01275,6.52256e-16
0.0127778,1.06859e-15
0.0128056,6.245e-16
0.0128333,1.06859e-15
0.0128611,6.245e-16
0.0128889,1.06859e-15
0.0129167,6.245e-16
0.0129444,1.06859e-15
0.0129722,6.245e-16
0.013,1.06859e-15
0.0130278,6.245e-16
0.0130556,1.06859e-15
0.0130833,6.245e-16
0.0131111,1.06859e-15
0.0131389,6.245e-16
0.0131667,1.06859e-15
0.0131944,6.245e-16
0.0132222,1.06859e-15
0.01325,6.245e-16
0.0132778,1.06859e-15
0.0133056,6.245e-16
0.0133333,1.06859e-15
0.0133611,6.245e-16
0.0133889,1.06859e-15
0.0134167,6.245e-16
0.0134444,1.06859e-15
0.0134722,6.245e-16
0.0135,1.06859e-15
0.0135278,6.245e-16
0.0135556,1.06859e-15
0.0135833,6.245e-16
0.0136111,1.06859e-15
0.0136389,6.52256e-16
0.0136667,1.09635e-15
0.0136944,7.07767e-16
0.0137222,1.20737e-15
0.01375,9.29812e-16
0.0137778,1.65146e-15
0.0138056,1.73472e-15
0.0138333,3.15026e-15
0.0138611,4.59355e-15
0.0138889,8.36831e-15
0.0139167,1.41692e-14
0.0139444,2.60209e-14
0.0139722,4.64212e-14
0.014,8.43353e-14
0.0140278,1.51171e-13
0.0140556,2.71658e-13
0.0140833,4.83849e-13
0.0141111,8.58882e-13
0.0141389,1.51375e-12
0.0141667,2.65417e-12
0.0141944,4.62365e-12
0.0142222,8.00747e-12
0.01425,1.37809e-11
0.0142778,2.35737e-11
0.0143056,4.00755e-11
0.0143333,6.77125e-11
0.0143611,1.13703e-10
