Time,N_numeric,R_numeric,N_analytical,R_analytical
20.8,15.1526,0.303051,15.1589,0.303177
20.9,15.1829,0.303657,15.1892,0.303784
21,15.2132,0.304265,15.2196,0.304392
21.1,15.2437,0.304873,15.2501,0.305002
21.2,15.2741,0.305483,15.2806,0.305612
21.3,15.3047,0.306094,15.3112,0.306224
21.4,15.3353,0.306706,15.3419,0.306837
21.5,15.366,0.30732,15.3726,0.307452
21.6,15.3967,0.307934,15.4034,0.308067
21.7,15.4275,0.30855,15.4342,0.308684
21.8,15.4584,0.309167,15.4651,0.309302
21.9,15.4893,0.309785,15.496,0.309921
22,15.5203,0.310405,15.5271,0.310541
22.1,15.5513,0.311026,15.5582,0.311163
22.2,15.5824,0.311648,15.5893,0.311786
22.3,15.6136,0.312271,15.6205,0.31241
22.4,15.6448,0.312896,15.6518,0.313036
22.5,15.6761,0.313522,15.6831,0.313662
22.6,15.7074,0.314149,15.7145,0.31429
22.7,15.7388,0.314777,15.746,0.31492
22.8,15.7703,0.315406,15.7775,0.31555
22.9,15.8019,0.316037,15.8091,0.316182
23,15.8335,0.316669,15.8407,0.316815
23.1,15.8651,0.317303,15.8725,0.317449
23.2,15.8969,0.317937,15.9042,0.318085
23.3,15.9287,0.318573,15.9361,0.318721
23.4,15.9605,0.31921,15.968,0.319359
23.5,15.9924,0.319849,15.9999,0.319999
23.6,16.0244,0.320488,16.032,0.320639
23.7,16.0565,0.321129,16.0641,0.321281
23.8,16.0886,0.321772,16.0962,0.321925
23.9,16.1208,0.322415,16.1285,0.322569
24,16.153,0.32306,16.1607,0.323215
24.1,16.1853,0.323706,16.1931,0.323862
24.2,16.2177,0.324354,16.2255,0.32451
24.3,16.2501,0.325002,16.258,0.32516
24.4,16.2826,0.325652,16.2905,0.325811
24.5,16.3152,0.326304,16.3232,0.326463
24.6,16.3478,0.326956,16.3558,0.327117
24.7,16.3805,0.32761,16.3886,0.327772
24.8,16.4133,0.328265,16.4214,0.328428
24.9,16.4461,0.328922,16.4543,0.329085
25,16.479,0.32958,16.4872,0.329744
25.1,16.5119,0.330239,16.5202,0.330404
25.2,16.545,0.330899,16.5533,0.331066
25.3,16.5781,0.331561,16.5864,0.331729
25.4,16.6112,0.332224,16.6196,0.332393
25.5,16.6444,0.332889,16.6529,0.333058
25.6,16.6777,0.333554,16.6863,0.333725
25.7,16.7111,0.334222,16.7197,0.334393
25.8,16.7445,0.33489,16.7531,0.335063
25.9,16.778,0.33556,16.7867,0.335733
26,16.8115,0.336231,16.8203,0.336406
26.1,16.8452,0.336903,16.854,0.337079
26.2,16.8789,0.337577,16.8877,0.337754
26.3,16.9126,0.338252,16.9215,0.33843
26.4,16.9464,0.338929,16.9554,0.339108
26.5,16.9803,0.339607,16.9893,0.339786
26.6,17.0143,0.340286,17.0233,0.340467
26.7,17.0483,0.340966,17.0574,0.341148
26.8,17.0824,0.341648,17.0916,0.341831
