Time,Population
65.3,36.8657
65.4,36.9394
65.5,37.0133
65.6,37.0873
65.7,37.1615
65.8,37.2358
65.9,37.3103
66,37.3849
66.1,37.4597
66.2,37.5346
66.3,37.6097
66.4,37.6849
66.5,37.7602
66.6,37.8358
66.7,37.9114
66.8,37.9873
66.9,38.0632
67,38.1394
67.1,38.2156
67.2,38.2921
67.3,38.3687
67.4,38.4454
67.5,38.5223
67.6,38.5993
67.7,38.6765
67.8,38.7539
67.9,38.8314
68,38.9091
68.1,38.9869
68.2,39.0648
68.3,39.143
68.4,39.2213
68.5,39.2997
68.6,39.3783
68.7,39.4571
68.8,39.536
68.9,39.615
69,39.6943
69.1,39.7737
69.2,39.8532
69.3,39.9329
69.4,40.0128
69.5,40.0928
69.6,40.173
69.7,40.2533
69.8,40.3338
69.9,40.4145
70,40.4953
70.1,40.5763
70.2,40.6575
70.3,40.7388
70.4,40.8203
70.5,40.9019
70.6,40.9837
70.7,41.0657
70.8,41.1478
70.9,41.2301
71,41.3126
71.1,41.3952
71.2,41.478
71.3,41.5609
71.4,41.6441
71.5,41.7274
71.6,41.8108
71.7,41.8944
71.8,41.9782
71.9,42.0622
72,42.1463
72.1,42.2306
72.2,42.3151
72.3,42.3997
72.4,42.4845
72.5,42.5695
72.6,42.6546
72.7,42.7399
72.8,42.8254
72.9,42.911
73,42.9969
73.1,43.0829
73.2,43.169
73.3,43.2554
73.4,43.3419
73.5,43.4285
73.6,43.5154
73.7,43.6024
73.8,43.6896
73.9,43.777
74,43.8646
74.1,43.9523
74.2,44.0402
74.3,44.1283
74.4,44.2165
74.5,44.305
74.6,44.3936
74.7,44.4824
74.8,44.5713
74.9,44.6605
75,44.7498
75.1,44.8393
75.2,44.929
75.3,45.0188
75.4,45.1089
75.5,45.1991
75.6,45.2895
75.7,45.3801
75.8,45.4708
75.9,45.5618
76,45.6529
76.1,45.7442
76.2,45.8357
76.3,45.9274
76.4,46.0192
76.5,46.1113
76.6,46.2035
76.7,46.2959
76.8,46.3885
76.9,46.4813
77,46.5742
77.1,46.6674
77.2,46.7607
77.3,46.8542
77.4,46.9479
77.5,47.0418
77.6,47.1359
77.7,47.2302
77.8,47.3246
77.9,47.4193
78,47.5141
78.1,47.6092
78.2,47.7044
78.3,47.7998
78.4,47.8954
78.5,47.9912
78.6,48.0872
78.7,48.1833
78.8,48.2797
78.9,48.3763
79,48.473
79.1,48.57
79.2,48.6671
79.3,48.7644
79.4,48.862
79.5,48.9597
79.6,49.0576
79.7,49.1557
79.8,49.254
79.9,49.3525
80,49.4512
80.1,49.5501
80.2,49.6492
80.3,49.7485
80.4,49.848
80.5,49.9477
80.6,50.0476
80.7,50.1477
80.8,50.248
80.9,50.3485
81,50.4492
81.1,50.5501
81.2,50.6512
81.3,50.7525
81.4,50.854
81.5,50.9557
81.6,51.0576
81.7,51.1598
81.8,51.2621
81.9,51.3646
82,51.4673
82.1,51.5703
82.2,51.6734
82.3,51.7768
82.4,51.8803
82.5,51.9841
82.6,52.088
82.7,52.1922
82.8,52.2966
82.9,52.4012
83,52.506
83.1,52.611
83.2,52.7162
83.3,52.8217
83.4,52.9273
83.5,53.0332
83.6,53.1392
83.7,53.2455
83.8,53.352
83.9,53.4587
84,53.5656
84.1,53.6727
84.2,53.7801
84.3,53.8877
84.4,53.9954
84.5,54.1034
84.6,54.2116
84.7,54.32
84.8,54.4287
84.9,54.5375
85,54.6466
85.1,54.7559
85.2,54.8654
85.3,54.9752
85.4,55.0851
85.5,55.1953
85.6,55.3057
85.7,55.4163
85.8,55.5271
85.9,55.6382
86,55.7494
86.1,55.8609
86.2,55.9727
86.3,56.0846
86.4,56.1968
86.5,56.3092
86.6,56.4218
86.7,56.5346
86.8,56.6477
86.9,56.761
87,56.8745
87.1,56.9883
87.2,57.1022
87.3,57.2164
87.4,57.3309
87.5,57.4455
87.6,57.5604
87.7,57.6756
87.8,57.7909
87.9,57.9065
88,58.0223
88.1,58.1383
88.2,58.2546
88.3,58.3711
88.4,58.4879
88.5,58.6048
88.6,58.7221
88.7,58.8395
88.8,58.9572
88.9,59.0751
89,59.1932
89.1,59.3116
89.2,59.4303
89.3,59.5491
89.4,59.6682
89.5,59.7876
89.6,59.9071
89.7,60.0269
89.8,60.147
89.9,60.2673
90,60.3878
90.1,60.5086
90.2,60.6296
90.3,60.7509
90.4,60.8724
